City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
169,zheleznodorozhnyy,55.7503,38.0042,17.1,82,90,4.15,RU,1688946888
170,brady,31.1352,-99.3351,39.18,26,0,2.06,US,1688946889
171,georgetown,5.4112,100.3354,26.96,92,20,1.54,MY,1688946650
172,luau,-10.7073,22.2247,14.33,42,0,2.54,AO,1688946889
173,lihue,21.9789,-159.3672,26.92,63,87,6.95,US,1688946890
174,fort bragg,35.139,-79.006,28.32,76,0,3.09,US,1688946890
175,zaranj,30.9667,61.8833,29.72,19,0,6.67,AF,1688946890
176,chonchi,-42.6128,-73.8092,5.07,91,36,1.0,CL,1688946891
177,lazaro cardenas,17.9583,-102.2,29.65,72,60,4.47,MX,1688946891
178,queenstown,-31.8976,26.8753,3.7,89,100,3.16,ZA,1688946891
179,opuwo,-18.0607,13.84,13.68,26,0,2.72,NA,1688946891
180,newman,37.3138,-121.0208,30.03,10,0,3.38,US,1688946892
181,kirando,-7.4167,30.6,21.68,61,7,2.87,TZ,1688946892
182,leninogorsk,54.6026,52.4609,21.05,68,100,1.38,RU,1688946893
183,punta del este,-34.9667,-54.95,13.82,91,0,1.03,UY,1688946893
184,sosnogorsk,63.6023,53.8817,7.91,90,99,2.94,RU,1688946894
185,tilisarao,-32.7329,-65.2911,12.97,75,82,2.33,AR,1688946894
186,haiku-pauwela,20.9219,-156.3051,27.87,61,68,5.36,US,1688946894
187,kenai,60.5544,-151.2583,15.05,67,40,7.2,US,1688946048
188,fortuna,40.5982,-124.1573,21.07,71,20,5.66,US,1688946895
189,tucurui,-3.7661,-49.6725,24.21,84,45,1.73,BR,1688946895
190,oranjemund,-28.55,16.4333,11.6,64,0,5.23,NA,1688946604
191,villa gesell,-37.2639,-56.973,9.47,89,98,2.39,AR,1688946896
192,cochituate,42.3209,-71.3642,24.49,84,100,0.45,US,1688946896
193,labytnangi,66.6572,66.4183,9.17,89,100,2.67,RU,1688946896
194,tindouf,27.6711,-8.1474,35.25,18,40,6.17,DZ,1688946897
195,hobyo,5.3505,48.5268,25.46,77,66,11.26,SO,1688946897
196,jodiya bandar,22.7167,70.2833,28.51,84,100,7.94,IN,1688946897
197,happy valley-goose bay,53.3168,-60.3315,21.17,73,75,4.12,CA,1688946897
198,vrangel',42.7297,133.0839,18.98,94,91,1.63,RU,1688946898
199,keflavik,64.0049,-22.5624,11.95,87,0,3.09,IS,1688946898
200,port alfred,-33.5906,26.891,11.77,72,58,3.13,ZA,1688946898
201,moanda,-1.5575,13.2178,23.3,73,56,1.28,GA,1688946899
202,sao jose da coroa grande,-8.8978,-35.1478,24.23,86,13,3.04,BR,1688946899
203,hasaki,35.7333,140.8333,31.27,81,53,4.19,JP,1688946899
204,sechura,-5.5569,-80.8222,23.87,73,20,7.61,PE,1688946900
205,guerrero negro,27.9769,-114.0611,21.3,64,6,7.62,MX,1688946900
206,zhengjiatun,43.5064,123.5064,23.9,75,69,3.2,CN,1688946900
207,marsa alam,25.0757,34.8918,31.24,37,12,3.2,EG,1688946900
208,ust-tsilma,65.441,52.1498,6.94,85,93,2.08,RU,1688946901
209,karimganj,24.8667,92.35,25.87,95,100,0.28,IN,1688946901
210,ashkelon,31.6693,34.5715,25.94,80,32,3.93,IL,1688946902
211,wewak,-3.5534,143.6268,25.85,89,100,0.66,PG,1688946902
212,taroa,8.7058,171.2275,28.21,75,99,8.02,MH,1688946902
213,selfoss,63.9331,-20.9971,13.36,80,97,2.55,IS,1688946315
214,wamba,8.9333,8.6,22.16,95,92,1.17,NG,1688946903
215,huarmey,-10.0681,-78.1522,21.28,80,9,4.38,PE,1688946903
216,xuddur,4.1213,43.8894,21.34,78,39,8.49,SO,1688946903
217,tambacounda,13.7539,-13.7586,33.03,66,0,2.06,SN,1688946904
